t	y
815	15,0007
816	15,0007
817	15,0007
818	15,0006
819	15,0006
820	15,0006
821	15,0006
822	15,0006
823	15,0006
824	15,0006
825	15,0006
826	15,0006
827	15,0006
828	15,0006
829	15,0005
830	15,0005
831	15,0005
832	15,0005
833	15,0005
834	15,0005
835	15,0005
836	15,0005
837	15,0005
838	15,0005
839	15,0005
840	15,0005
841	15,0005
842	15,0004
843	15,0004
844	15,0004
845	15,0004
846	15,0004
847	15,0004
848	15,0004
849	15,0004
850	15,0004
851	15,0004
852	15,0004
853	15,0004
854	15,0004
855	15,0004
856	15,0004
857	15,0004
858	15,0004
859	15,0003
860	15,0003
861	15,0003
862	15,0003
863	15,0003
864	15,0003
865	15,0003
866	15,0003
867	15,0003
868	15,0003
869	15,0003
870	15,0003
871	15,0003
872	15,0003
873	15,0003
874	15,0003
875	15,0003
876	15,0003
877	15,0003
878	15,0003
879	15,0003
880	15,0003
881	15,0002
882	15,0002
883	15,0002
884	15,0002
885	15,0002
886	15,0002
887	15,0002
888	15,0002
889	15,0002
890	15,0002
891	15,0002
892	15,0002
893	15,0002
894	15,0002
895	15,0002
896	15,0002
897	15,0002
898	15,0002
899	15,0002
900	15,0002
901	15,0002
902	15,0002
903	15,0002
904	15,0002
905	15,0002
906	15,0002
907	15,0002
908	15,0002
909	15,0002
910	15,0002
911	15,0002
912	15,0002
913	15,0002
914	15,0001
915	15,0001
916	15,0001
917	15,0001
918	15,0001
919	15,0001
920	15,0001
921	15,0001
922	15,0001
923	15,0001
924	15,0001
925	15,0001
926	15,0001
927	15,0001
928	15,0001
929	15,0001
930	15,0001
931	15,0001
932	15,0001
933	15,0001
934	15,0001
935	15,0001
936	15,0001
937	15,0001
938	15,0001
939	15,0001
940	15,0001
941	15,0001
942	15,0001
943	15,0001
944	15,0001
945	15,0001
946	15,0001
947	15,0001
948	15,0001
949	15,0001
950	15,0001
951	15,0001
952	15,0001
953	15,0001
954	15,0001
955	15,0001
956	15,0001
957	15,0001
958	15,0001
959	15,0001
960	15,0001
961	15,0001
962	15,0001
963	15,0001
964	15,0001
965	15,0001
966	15,0001
967	15,0001
968	15,0001
969	15,0001
970	15,0001
971	15,0001
972	15,0001
973	15,0001
974	15,0001
975	15,0001
976	15,0001
977	15,0001
978	15,0001
979	15,0001
980	15,0001
981	15,0001
982	15,0001
983	15,0001
984	15,0001
985	15
986	15
987	15
988	15
989	15
990	15
991	15
992	15
993	15
994	15
995	15
996	15
997	15
998	15
999	15
